time,od,treat
0,0.017,0
2,0.160,0
4,0.502,0
6,0.559,0
8,0.765,0
17,0.951,0
19,1.009,0
21,1.009,0
23,1.019,0
25,1.066,0
27,0.951,0
29,0.967,0
31,0.724,0
0,0.020,5
2,0.114,5
4,0.469,5
6,0.520,5
8,0.731,5
17,0.944,5
19,0.986,5
21,0.981,5
23,0.988,5
25,1.030,5
27,0.875,5
29,0.916,5
31,0.753,5
0,0.018,10
2,0.065,10
4,0.399,10
6,0.478,10
8,0.699,10
17,0.933,10
19,0.958,10
21,0.957,10
23,0.977,10
25,1.002,10
27,0.965,10
29,0.920,10
31,0.800,10
0,0.021,20
2,0.040,20
4,0.219,20
6,0.439,20
8,0.558,20
17,0.892,20
19,0.965,20
21,0.958,20
23,0.980,20
25,0.988,20
27,0.971,20
29,0.920,20
31,0.940,20
0,0.020,40
2,0.027,40
4,0.020,40
6,0.010,40
8,0.110,40
17,0.790,40
19,0.881,40
21,0.917,40
23,0.956,40
25,0.982,40
27,1.021,40
29,0.923,40
31,0.990,40
0,0.018,80
2,0.027,80
4,0.019,80
6,0.010,80
8,0.104,80
17,0.042,80
19,0.058,80
21,0.147,80
23,0.452,80
25,0.605,80
27,0.773,80
29,0.798,80
31,0.864,80
